[0.4416, 0.4961]
[0.4379, 0.4988]
[0.4342, 0.5012]
[0.4336, 0.5003]
[0.4327, 0.4988]
[0.432, 0.4978]
[0.431, 0.4963]
[0.43, 0.4947]
[0.4293, 0.4936]
[0.4281, 0.4918]
[0.4262, 0.4888]
[0.4254, 0.4876]
[0.4233, 0.4843]
[0.422, 0.4823]
[0.4211, 0.4809]
[0.4197, 0.4787]
[0.4183, 0.4766]
[0.4158, 0.4728]
[0.4148, 0.4712]
[0.4133, 0.4689]
[0.4122, 0.4673]
[0.4106, 0.4648]
[0.4096, 0.4631]
[0.4079, 0.4606]
[0.4063, 0.458]
[0.4005, 0.4491]
[0.3993, 0.4473]
[0.3975, 0.4445]
[0.3963, 0.4426]
[0.3944, 0.4398]
[0.3932, 0.4378]
[0.3894, 0.432]
[0.3881, 0.43]
[0.3862, 0.4271]
[0.3849, 0.4251]
[0.383, 0.422]
[0.3816, 0.42]
[0.3797, 0.417]
[0.3783, 0.4149]
[0.3763, 0.4118]
[0.3743, 0.4087]
[0.373, 0.4066]
[0.371, 0.4035]
[0.3696, 0.4014]
[0.3676, 0.3983]
[0.3662, 0.3962]
[0.3616, 0.3975]
[0.3571, 0.4014]
[0.3548, 0.4021]
[0.3513, 0.4031]
[0.3498, 0.4075]
[0.3438, 0.4094]
[0.3368, 0.4143]
[0.3339, 0.4195]
[0.329, 0.421]
[0.3266, 0.4247]
[0.323, 0.4259]
[0.3205, 0.4268]
[0.3193, 0.4272]
[0.3181, 0.4276]
[0.3162, 0.4327]
[0.3077, 0.4357]
[0.3065, 0.4361]
[0.3045, 0.4414]
[0.3008, 0.4427]
[0.2996, 0.4432]
[0.2946, 0.4482]
[0.2909, 0.4495]
[0.2873, 0.4508]
[0.2828, 0.4574]
[0.2753, 0.4636]
[0.271, 0.467]
[0.2686, 0.4679]
[0.2651, 0.4693]
[0.2641, 0.4749]
[0.2606, 0.4764]
[0.2575, 0.4794]
[0.2507, 0.4875]
[0.2477, 0.4906]
[0.2421, 0.493]
[0.2407, 0.4973]
[0.2352, 0.4996]
[0.2295, 0.5059]
[0.2271, 0.505]
[0.2247, 0.5099]
[0.2233, 0.5144]
[0.2196, 0.5238]
[0.2164, 0.5234]
[0.2196, 0.5238]
[0.215, 0.5279]
[0.2105, 0.538]
[0.2114, 0.5435]
[0.21, 0.5481]
[0.2076, 0.5514]
[0.2058, 0.5523]
[0.2063, 0.556]
[0.2037, 0.5573]
[0.2002, 0.5652]
[0.2008, 0.5708]
[0.1996, 0.5754]
[0.1976, 0.5805]
[0.1965, 0.5851]
[0.194, 0.5845]
[0.1927, 0.5951]
[0.1917, 0.5996]
[0.1899, 0.6046]
[0.1887, 0.6073]
[0.1871, 0.6121]
[0.1861, 0.6166]
[0.1846, 0.6213]
[0.1837, 0.6257]
[0.1823, 0.6304]
[0.1804, 0.6278]
[0.181, 0.635]
[0.1797, 0.6321]
[0.1785, 0.6366]
[0.1772, 0.652]
[0.1765, 0.6543]
[0.1755, 0.6585]
[0.175, 0.6623]
[0.1742, 0.6663]
[0.1731, 0.6737]
[0.1727, 0.6673]
[0.1725, 0.6774]
[0.1718, 0.6746]
[0.1722, 0.6808]
[0.1717, 0.6843]
[0.1715, 0.6875]
[0.1711, 0.6907]
[0.171, 0.6938]
[0.1706, 0.6955]
[0.1704, 0.6985]
[0.17, 0.7]
[0.1699, 0.6961]
[0.1698, 0.6872]
[0.1696, 0.6778]
[0.1693, 0.6714]
[0.1692, 0.661]
[0.1689, 0.6503]
[0.1685, 0.643]
[0.1683, 0.6355]
[0.168, 0.6238]
[0.1678, 0.6138]
[0.1675, 0.6058]
[0.167, 0.5851]
[0.1667, 0.5745]
[0.1665, 0.5661]
[0.1663, 0.5577]
[0.1662, 0.5553]
[0.166, 0.5469]
[0.1657, 0.5361]
